ID,Name,host,invadeOrb_None,invadeOrb_Umbasa,invadeOrb_Berserker,invadeOrb_Sinners,invadeSign_None,invadeSign_Umbasa,invadeSign_Berserker,invadeSign_Sinners,invadeRing_Sinners,invadeRing_Rosalia,invadeRing_Forest,coopSign_None,coopSign_Umbasa,coopSign_Berserker,coopSign_Sinners,coopRing_RedHunter,invadeRing_Anor,paramReplaceRate,paramReplaceId,pad,
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0|0|0]
1,,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,-1,[0|0|0|0|0|0|0|0]
2,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,-1,[0|0|0|0|0|0|0|0]
900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0|0|0]
1001,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,[0|0|0|0|0|0|0|0]
1002,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,[0|0|0|0|0|0|0|0]
1003,,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,-1,[0|0|0|0|0|0|0|0]
1004,,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,-1,[0|0|0|0|0|0|0|0]
1005,,5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,-1,[0|0|0|0|0|0|0|0]
1006,,6,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,-1,[0|0|0|0|0|0|0|0]
1007,,7,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,-1,[0|0|0|0|0|0|0|0]
1008,,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,-1,[0|0|0|0|0|0|0|0]
1009,,9,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,-1,[0|0|0|0|0|0|0|0]
1010,,10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,-1,[0|0|0|0|0|0|0|0]
1011,,11,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,-1,[0|0|0|0|0|0|0|0]
1012,,12,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,-1,[0|0|0|0|0|0|0|0]
1013,,13,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,-1,[0|0|0|0|0|0|0|0]
1014,,14,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,-1,[0|0|0|0|0|0|0|0]
1015,,15,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,4,0,0,-1,[0|0|0|0|0|0|0|0]
2001,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0|0|0]
2002,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0|0|0]
2003,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0|0|0]
2004,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0|0|0]
2005,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0|0|0]
2006,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,[0|0|0|0|0|0|0|0]
